0.00000 0.00000
0.00034 0.16551
0.00052 0.19768
0.00063 -0.05350
0.00088 -0.02594
0.00109 -0.04721
0.00145 0.17630
0.00156 0.15996
0.00172 0.27107
0.00208 0.06872
0.00235 0.25346
0.00300 -0.00861
0.00319 0.18847
0.00322 0.47408
0.00359 0.30434
0.00377 0.12689
0.00390 0.28425
0.00432 0.11388
0.00446 0.27298
0.00461 0.18132
0.00484 0.33061
0.00491 0.26910
0.00526 0.50376
0.00541 0.11942
0.00564 0.40291
0.00569 0.41295
0.00591 0.60095
0.00594 0.58506
0.00620 0.57835
0.00627 0.56611
0.00646 0.19336
0.00660 0.65367
0.00679 0.28201
0.00694 0.55650
0.00721 0.43370
0.00760 0.43225
0.00763 0.64347
0.00796 0.49388
0.00801 0.76206
0.00839 0.78457
0.00855 1.00614
0.00882 0.90752
0.00898 0.80671
0.00914 0.79361
0.00927 0.78005
0.00935 1.09208
0.00952 0.68898
0.00979 0.68953
0.01005 0.65499
0.01021 0.54256
0.01034 0.61711
0.01073 0.83275
0.01086 1.07730
0.01120 0.62410
0.01120 0.93451
0.01131 0.74785
0.01147 0.91647
0.01189 0.72396
0.01188 0.90594
0.01212 0.94111
0.01219 1.04005
0.01244 1.17159
0.01272 1.01476
0.01294 0.92350
0.01333 0.95955
0.01351 1.07368
0.01381 0.92971
0.01399 0.97806
0.01407 1.09942
0.01415 1.50793
0.01439 0.98575
0.01444 0.97777
0.01453 0.95250
0.01478 1.01707
0.01484 1.37617
0.01496 1.01528
0.01516 1.04900
0.01525 1.41802
0.01542 1.24943
0.01564 1.36941
0.01588 1.24096
0.01618 1.11759
0.01640 1.40657
0.01677 1.03378
0.01679 1.30728
0.01697 1.36347
0.01710 1.41734
0.01726 1.32506
0.01736 1.52682
0.01763 1.21971
0.01793 1.56250
0.01820 1.41342
0.01837 1.40000
0.01844 1.32253
0.01862 1.50204
0.01899 1.43657
0.01900 1.53141
0.01914 1.30247
0.01948 1.60947
0.01967 1.33433
0.01983 1.15916
0.02012 1.41826
0.02015 1.45636
0.02030 1.63342
0.02061 1.79432
0.02085 1.57941
0.02093 1.75268
0.02106 1.75270
0.02143 1.89950
0.02169 1.42815
0.02179 1.45595
0.02182 1.62280
0.02203 1.82215
0.02223 1.52074
0.02229 1.51441
0.02237 1.70985
0.02251 1.83976
0.02282 1.60994
0.02294 1.49076
0.02314 1.90518
0.02362 1.46183
0.02363 1.90625
0.02388 2.02205
0.02409 1.98695
0.02426 1.85441
0.02433 1.74609
0.02444 1.74155
0.02499 1.81614
0.02530 1.81036
0.02538 1.71355
0.02540 2.04634
0.02546 2.09995
0.02554 2.06618
0.02560 2.07190
0.02568 1.98029
0.02589 1.85711
0.02604 2.02389
0.02615 1.73314
0.02652 2.00290
0.02661 2.11110
0.02686 2.13795
0.02700 2.23331
0.02735 2.27884
0.02748 2.02021
0.02753 1.91790
0.02781 1.91715
0.02791 2.21334
0.02814 2.14089
0.02836 1.84217
0.02858 2.07653
0.02867 2.03349
0.02882 2.33581
0.02906 2.10390
0.02921 2.09492
0.02962 2.05492
0.02978 2.31816
0.03005 2.55901
0.03023 2.42793
0.03035 2.27376
0.03047 2.09826
0.03077 2.51497
0.03122 2.41296
0.03132 2.27314
0.03134 2.26459
0.03145 2.48051
0.03160 2.31868
0.03177 2.19136
0.03181 2.63797
0.03215 2.52734
0.03226 2.42007
0.03238 2.14967
0.03248 2.65885
0.03272 2.28678
0.03292 2.43580
0.03298 2.51933
0.03312 2.48677
0.03336 2.41834
0.03352 2.50340
0.03358 2.92514
0.03370 2.27735
0.03387 2.57381
0.03436 2.53901
0.03461 2.89110
0.03476 2.75943
0.03487 2.78000
0.03499 2.80489
0.03533 2.75136
0.03533 2.84874
0.03568 2.66162
0.03577 2.68707
0.03608 2.75836
0.03623 2.89443
0.03647 2.80064
0.03650 2.80461
0.03672 2.56279
0.03691 2.87959
0.03707 2.75122
0.03714 2.99793
0.03745 2.99640
0.03754 2.88779
0.03755 3.08298
0.03787 2.50366
0.03796 3.12968
0.03818 2.88972
0.03826 2.93010
0.03861 2.98005
0.03875 2.90060
0.03880 3.04667
0.03900 2.81896
0.03929 2.82979
0.03953 3.01620
0.03998 3.13948
0.04005 3.02720
0.04017 3.53289
0.04026 3.27425
0.04073 3.18617
0.04093 3.28452
0.04109 3.40010
0.04130 3.02606
0.04146 2.98662
0.04152 3.27705
0.04173 3.07700
0.04185 3.36417
0.04188 3.37551
0.04219 3.29077
0.04243 3.47535
0.04256 3.60327
0.04278 3.21678
0.04290 3.43886
0.04307 3.58468
0.04335 3.50835
0.04370 3.37068
0.04385 3.49882
0.04405 3.16286
0.04423 3.55125
0.04440 3.53009
0.04454 3.33315
0.04461 3.54008
0.04502 3.51273
0.04520 3.64453
0.04556 3.60207
0.04568 3.35240
0.04578 3.47996
0.04586 3.42400
0.04620 3.67823
0.04635 3.77551
0.04644 3.52795
0.04660 3.68978
0.04672 3.77875
0.04679 3.73297
0.04697 3.87019
0.04707 3.62732
0.04709 3.80458
0.04734 3.62857
0.04755 3.75306
0.04795 3.81728
0.04832 3.67108
0.04858 3.88416
0.04871 3.55339
0.04876 3.59191
0.04897 3.69910
0.04915 3.91268
0.04927 3.99739
0.04957 3.88147
0.04970 3.73747
0.04985 4.02220
0.05004 3.91291
0.05017 3.89031
0.05058 3.90476
0.05078 4.16130
0.05097 3.99912
0.05108 4.16188
0.05121 3.75481
0.05133 3.96468
0.05168 3.86565
0.05175 4.13140
0.05185 4.01878
0.05199 4.15174
0.05211 3.99037
